,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
547,7022,경기 하남시,고도성장기,있음,법인,3,0,0,1,2,0,서울/인천/경기,의료/제약
548,7025,경남 창원시 성산구,고도성장기,있음,법인,2,0,0,1,1,0,부산/경남/울산,기타
549,7037,서울 강남구,창업기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
550,7066,경기 남양주시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
551,7069,경기 고양시 덕양구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
552,7075,서울 마포구,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
553,7087,서울 서초구,고도성장기,있음,법인,8,0,0,0,8,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
554,7094,충남 천안시 동남구,고도성장기,있음,법인,5,0,0,2,3,0,대전/세종/충청/강원,의료/제약
555,7098,경기 용인시 기흥구,성숙기,있음,법인,10,0,0,10,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
556,7099,대구 달서구,고도성장기,있음,법인,30,0,3,15,7,5,대구/경북,의료/제약
557,7115,강원 원주시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,에너지/화학/정밀
558,7123,경남 김해시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
559,7131,서울 성동구,고도성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,기타
560,7143,충북 청주시 상당구,쇠퇴기,있음,개인,1,0,0,1,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
561,7163,경기 파주시,성숙기,있음,법인,5,0,0,5,0,0,서울/인천/경기,기계/자동차/금속
562,7171,충남 아산시,성숙기,있음,법인,4,0,0,2,2,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
563,7178,서울 마포구,고도성장기,있음,법인,6,0,0,6,0,0,서울/인천/경기,정보통신/방송서비스
564,7184,인천 남동구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
565,7191,서울 금천구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
566,7204,인천 부평구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
567,7225,광주 북구,초기성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
568,7226,경기 포천시,성숙기,있음,법인,2,0,0,0,0,2,서울/인천/경기,음식료/섬유/비금속/기타제조
569,7230,경북 경산시,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
570,7234,서울 노원구,성숙기,있음,법인,1,0,0,1,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
571,7239,경북 경주시,성숙기,없음,법인,0,0,0,0,0,0,대구/경북,도소매/연구개발서비스/기타서비스
572,7251,부산 사상구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
573,7264,울산 북구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
574,7276,전남 나주시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,통신기기/방송기기
575,7290,충북 청주시 청원구,초기성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,컴퓨터/반도체/전자부품
576,7292,경기 안산시 단원구,성숙기,있음,법인,3,0,0,0,0,3,서울/인천/경기,기계/자동차/금속
577,7311,경기 용인시 처인구,성숙기,있음,법인,3,0,0,0,3,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
578,7314,부산 남구,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,통신기기/방송기기
579,7355,경기 고양시 일산동구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,의료/제약
580,7363,경기 안산시 단원구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
581,7364,강원 원주시,성숙기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,음식료/섬유/비금속/기타제조
582,7367,인천 남동구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,기계/자동차/금속
583,7372,광주 광산구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,에너지/화학/정밀
584,7390,서울 강남구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
585,7400,경기 고양시 일산동구,고도성장기,있음,법인,3,0,0,3,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
586,7404,서울 구로구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
587,7414,강원 원주시,고도성장기,있음,법인,2,0,0,1,1,0,대전/세종/충청/강원,의료/제약
588,7444,경기 김포시,성숙기,있음,법인,1,0,0,0,0,1,서울/인천/경기,음식료/섬유/비금속/기타제조
589,7450,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
590,7462,경기 안양시 동안구,성숙기,있음,법인,1,0,0,0,0,1,서울/인천/경기,에너지/화학/정밀
591,7473,부산 사상구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,도소매/연구개발서비스/기타서비스
592,7482,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
593,7484,서울 금천구,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
594,7487,대구 중구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,의료/제약
595,7499,대구 달서구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,기계/자동차/금속
596,7512,부산 강서구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
597,7513,대전 동구,성숙기,있음,법인,3,0,0,1,2,0,대전/세종/충청/강원,기타
598,7534,경남 양산시,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
599,7543,전남 장성군,성숙기,있음,법인,3,0,0,1,2,0,광주/전라/제주,기타
600,7544,대구 달서구,고도성장기,있음,법인,3,0,0,0,0,3,대구/경북,음식료/섬유/비금속/기타제조
601,7555,인천 부평구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,컴퓨터/반도체/전자부품
602,7588,경남 진주시,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,통신기기/방송기기
603,7603,울산 남구,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
604,7604,부산 기장군,고도성장기,있음,법인,13,0,1,8,4,0,부산/경남/울산,기타
605,7609,전남 여수시,고도성장기,있음,법인,2,0,0,2,0,0,광주/전라/제주,음식료/섬유/비금속/기타제조
606,7619,광주 광산구,고도성장기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기타
607,7642,울산 남구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기계/자동차/금속
608,7643,부산 금정구,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
609,7655,경남 양산시,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,에너지/화학/정밀
610,7671,광주 광산구,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,기계/자동차/금속
611,7683,경기 화성시,고도성장기,있음,법인,4,0,0,2,2,0,서울/인천/경기,기타
612,7718,경기 시흥시,성숙기,없음,개인,0,0,0,0,0,0,서울/인천/경기,의료/제약
613,7734,부산 금정구,성숙기,없음,개인,0,0,0,0,0,0,부산/경남/울산,소프트웨어개발/IT기반서비스
614,7738,경기 의왕시,성숙기,있음,법인,2,0,0,0,0,2,서울/인천/경기,도소매/연구개발서비스/기타서비스
615,7742,울산 북구,초기성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
616,7759,대구 달서구,고도성장기,없음,개인,0,0,0,0,0,0,대구/경북,의료/제약
617,7764,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
618,7774,서울 서대문구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
619,7776,서울 성동구,쇠퇴기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
620,7797,대구 동구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,도소매/연구개발서비스/기타서비스
621,7804,서울 송파구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
622,7818,경남 창원시 의창구,성숙기,있음,법인,3,0,0,1,2,0,부산/경남/울산,의료/제약
623,7838,대구 수성구,성숙기,없음,개인,0,0,0,0,0,0,대구/경북,의료/제약
